score,duration,fen,hero_pawn,type,variations
10.0,0m 0s,4N3/8/2KR4/4k3/8/2n1bQ2/3P4/1RB5 w - - 0 1,d2,ΤΕΛΕΙΟ REVERSE ALBINO (4/4),d2d3:e3a7:f3f6 | d2d4:e3d4:f3f4 | d2c3:e3a7:f3d5 | d2e3:c3d5:f3d5
4.0,0m 25s,4N3/6K1/3R4/5k2/7Q/3n1b2/4P3/1RB5 w - - 0 1,e2,REVERSE ALBINO 3/4,e2e4:f5e5:h4e7 | e2d3:f5e5:h4f6 | e2f3:f5e5:h4f6
4.0,0m 51s,3RN3/8/3Q4/5k2/8/3n1b2/4P2N/KRB5 w - - 0 1,e2,REVERSE ALBINO 3/4,e2e4:f5e4:d6d5 | e2d3:f3a8:e8g7 | e2f3:d3e5:e8g7
4.0,1m 7s,3RN3/4K3/8/5k2/7Q/3b1b1R/4P2N/3B4 w - - 0 1,e2,REVERSE ALBINO 3/4,e2e4:f5g6:d8d6 | e2d3:f5g6:h4f6 | e2f3:f5g6:h4f6
4.0,1m 37s,3RN3/4B3/3R4/4k3/7Q/2r1n3/3PK3/B7 w - - 0 1,d2,REVERSE ALBINO 3/4,d2d3:e5f5:h4g5 | d2d4:e5f5:e8g7 | d2e3:e5f5:h4f4
10.0,2m 11s,8/8/3R4/1N2k3/6Q1/4b1q1/5P1B/1R1K4 w - - 0 1,f2,ΤΕΛΕΙΟ REVERSE ALBINO (4/4),f2f3:g3f4:g4e6 | f2f4:e5e4:b5c3 | f2e3:g3f4:g4e6 | f2g3:e3a7:g4e6
4.0,3m 12s,6K1/8/3R4/8/4k3/2n1n3/3P1Q2/BR2N3 w - - 0 1,d2,REVERSE ALBINO 3/4,d2d3:e4e5:f2f6 | d2d4:e3f5:f2f3 | d2e3:e4e5:f2f4
10.0,5m 24s,2K1N3/8/3R4/BN2k3/6Q1/3n1n2/4P3/4R3 w - - 0 1,e2,ΤΕΛΕΙΟ REVERSE ALBINO (4/4),e2e3:f3g5:a5c3 | e2e4:f3g5:d6d5 | e2d3:f3e1:a5c3 | e2f3:d3e1:a5c3
10.0,5m 36s,1K2N3/5B2/3Q4/5k2/8/3b1b2/4PB1N/5R1R w - - 0 1,e2,ΤΕΛΕΙΟ REVERSE ALBINO (4/4),e2e3:f5g5:d6f6 | e2e4:f5g5:d6f6 | e2d3:f5g5:d6f6 | e2f3:f5g5:d6f6
4.0,6m 5s,4N3/8/2K4k/RN6/6Q1/4r1b1/5PR1/2B5 w - - 0 1,f2,REVERSE ALBINO 3/4,f2f3:h6h7:g4g7 | f2e3:h6h7:g4g7 | f2g3:h6h7:g4g7
4.0,9m 43s,8/4B3/3Q3R/1N3k2/8/3b1b2/1K2P2N/6B1 w - - 0 1,e2,REVERSE ALBINO 3/4,e2e3:f5e4:d6e6 | e2d3:f3a8:h6h5 | e2f3:d3b5:h6h5
4.0,10m 2s,8/3K1B2/3Q3R/8/4k3/1N2b1n1/5P2/4NR2 w - - 0 1,f2,REVERSE ALBINO 3/4,f2f3:e4f5:d6f6 | f2e3:e4e3:d6d3 | f2g3:e3a7:h6e6
4.0,11m 14s,4N3/7K/3Q4/8/4k3/4n1b1/5P2/BRB1NR2 w - - 0 1,f2,REVERSE ALBINO 3/4,f2f3:e4f5:d6f6 | f2e3:g3d6:e8f6 | f2g3:e3f5:e8f6
4.0,11m 35s,8/5K2/3Q4/5k2/8/4n1b1/5P2/2BBRR2 w - - 0 1,f2,REVERSE ALBINO 3/4,f2f4:f5e4:d1c2 | f2e3:f5g5:d6f6 | f2g3:f5g5:d6g6
4.0,11m 43s,2K1N3/5B2/2B5/4k3/6Q1/4q1b1/2N2P2/8 w - - 0 1,f2,REVERSE ALBINO 3/4,f2f4:g3f4:g4e6 | f2e3:g3h4:g4e6 | f2g3:e3a7:g4e6
4.0,14m 1s,4N3/6B1/3R4/5k2/8/3b1qQ1/3KP3/3B1R2 w - - 0 1,e2,REVERSE ALBINO 3/4,e2e4:f5e4:g3e5 | e2d3:f3f4:g3f4 | e2f3:d3a6:d6f6
4.0,14m 34s,4N3/5B2/3R3Q/4k3/8/3b1n2/4P3/4R1BK w - - 0 1,e2,REVERSE ALBINO 3/4,e2e4:f3g5:h6f6 | e2d3:e5f5:f7e6 | e2f3:e5f5:e8g7
4.0,14m 43s,2K5/3RB3/3R3Q/4k3/8/3n1b2/4P3/3BR3 w - - 0 1,e2,REVERSE ALBINO 3/4,e2e4:f3h5:e7f6 | e2d3:e5f5:h6g5 | e2f3:e5f5:h6f8
4.0,15m 4s,8/8/2K5/3Nk3/7Q/4b1r1/5P1B/4RR2 w - - 0 1,f2,REVERSE ALBINO 3/4,f2f3:e5e6:h4f6 | f2e3:e5e6:h4e7 | f2g3:e5e6:h4e7
10.0,15m 11s,4N3/3R3K/8/Q7/4k3/4n1b1/5P2/2BB1R2 w - - 0 1,f2,ΤΕΛΕΙΟ REVERSE ALBINO (4/4),f2f3:e4f4:d7f7 | f2f4:g3h4:a5e5 | f2e3:g3b8:e8f6 | f2g3:e3f5:e8f6
4.0,15m 20s,8/5B2/3Q4/6k1/8/4n1nK/4RP1N/4NR2 w - - 0 1,f2,REVERSE ALBINO 3/4,f2f4:g5f5:f7g6 | f2e3:g3h5:d6g6 | f2g3:e3f5:d6g6
4.0,15m 26s,3K4/4N3/3R4/1N6/2k5/2n1r3/3P4/1RQ3B1 w - - 0 1,d2,REVERSE ALBINO 3/4,d2d3:c4c5:d6c6 | d2c3:c4c5:d6c6 | d2e3:c4c5:d6c6
4.0,15m 56s,4N1K1/8/4B3/4kB2/6Q1/3q1n2/4P2N/4R3 w - - 0 1,e2,REVERSE ALBINO 3/4,e2e3:f3g5:g4f4 | e2d3:f3e1:g4e4 | e2f3:d3e4:g4e4
10.0,16m 9s,4N3/1K6/3R4/B3k3/6Q1/1N2b1b1/5P2/1R6 w - - 0 1,f2,ΤΕΛΕΙΟ REVERSE ALBINO (4/4),f2f3:g3h4:g4e4 | f2f4:e5e4:e8f6 | f2e3:g3h4:a5c3 | f2g3:e3a7:g4e6
4.0,16m 44s,4N3/8/3R4/6k1/Q7/4n1r1/4QP1N/1K3R2 w - - 0 1,f2,REVERSE ALBINO 3/4,f2f4:g5f5:d6f6 | f2e3:g3g4:a4g4 | f2g3:e3f5:a4g4
4.0,16m 51s,K7/8/3R3Q/4k3/8/4n1n1/5P2/5RB1 w - - 0 1,f2,REVERSE ALBINO 3/4,f2f4:e5f5:h6g6 | f2e3:e5e4:h6e6 | f2g3:e5e4:h6e6
4.0,16m 59s,8/4B3/3R4/4kB2/3N4/4q1b1/5PK1/4RQ2 w - - 0 1,f2,REVERSE ALBINO 3/4,f2f4:g3f4:f1b5 | f2e3:g3h4:d4c6 | f2g3:e3e4:e1e4
4.0,17m 10s,4N3/5B2/1Q6/4k3/8/1NK1n1r1/5P2/4RR2 w - - 0 1,f2,REVERSE ALBINO 3/4,f2f4:e5f5:b6e6 | f2e3:e5e4:b6e6 | f2g3:e5e4:b6e6
